instrument_key,exchange_token,Symbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_EQ|INE896L01010,3088,INDOSTAR,INDOSTAR CAPITAL FIN LTD,304.55,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0ONG01011,27176,NTPCGREEN,NTPC GREEN ENERGY LIMITED,107.96,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE836B01017,10453,SATIN,SATIN CREDIT NET LTD,158.69,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE495C01010,4184,SANGAMIND,SANGAM (INDIA) LTD,456.3,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE00EV01017,8968,HARIOMPIPE,HARIOM PIPE INDUSTRIES L,485.3,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE149A01033,21740,CHOLAHLDNG,CHOLAMANDALAM FIN HOL LTD,2071.8,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE773I01017,16959,ALKALI,ALKALI METALS LTD,96.16,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE749B01020,2979,ORTINGLOBE,ORTIN GLOBAL LIMITED,11.11,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE389C01015,7965,MALLCOM,MALLCOM (INDIA) LIMITED,1316.1,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE551D01018,17197,PAKKA,PAKKA LIMITED,208.19,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE625B01014,2837,RANASUG,RANA SUGARS LTD.,15.13,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE192B01031,11253,WELSPUNLIV,WELSPUN LIVING LIMITED,137.56,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE079A01024,1270,AMBUJACEM,AMBUJA CEMENTS LTD,620.4,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE792I01017,15271,CORDSCABLE,CORDS CABLE INDUS LTD.,206.62,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE457L01029,25358,PGEL,PG ELECTROPLAST LTD,791.15,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE147A01011,3252,SPIC,SPIC LTD,88.36,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0J1Y01017,9480,LICI,LIFE INSURA CORP OF INDIA,922,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE01QM01018,9756,EMUDHRA,EMUDHRA LIMITED,831,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE260B01028,1181,GODFRYPHLP,GODFREY PHILLIPS INDIA LT,9384,,,0.5,1,EQUITY,,NSE_EQ
NSE_EQ|INE753U01022,14479,DIVGIITTS,DIVGI TORQTRANSFER SYST L,653.25,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE047B01011,17839,GILLANDERS,GILLANDERS ARBUTHNOT LTD,129.28,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE299U01018,17094,CROMPTON,CROMPT GREA CON ELEC LTD,340,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE040A01034,1333,HDFCBANK,HDFC BANK LTD,2024.3,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE182D01020,18659,MARATHON,MARATHON NXTGEN REALT LTD,716.4,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE050E01027,14501,BALAMINES,BALAJI AMINES LIMITED,1738.6,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE09EO01013,19263,AARTISURF,AARTI SURFACTANTS LIMITED,565.75,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE196Y01018,22277,WORTH,WORTH PERIPHERALS LIMITED,172.83,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE121A08PJ0,19257,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE712K01011,10588,SHREEPUSHK,SHRE PUSH CHEM & FERT LTD,367.15,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE270A01029,17675,ALOKINDS,ALOK INDUSTRIES LIMITED,20.4,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE760W01023,6913,RPPL,RAJSHREE POLYPACK LTD,26.22,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0PK601023,25920,OCCLLTD,OCCL LIMITED,135.64,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE297H01019,13337,GALLANTT,GALLANTT ISPAT LIMITED,630.35,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE371P01015,1185,AMBER,AMBER ENTERPRISES (I) LTD,7312.5,,,0.5,1,EQUITY,,NSE_EQ
NSE_EQ|INE516A01017,1053,UFLEX,UFLEX LIMITED,598.75,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0N2P01017,18417,RISHABH,RISHABH INSTRUMENTS LTD,288.65,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE112D01035,7886,MHLXMIRU,MAHALAXMI RUBTECH LIMITED,226.77,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE103C01036,2320,SMCGLOBAL,SMC GLOBAL SECURITIES LTD,151.42,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE205B01031,13643,ELECON,ELECON ENG. CO. LTD,594.8,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE082W01014,9862,WEWIN,WE WIN LIMITED,47.64,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE690A01028,3546,TTKPRESTIG,TTK PRESTIGE LTD,637.15,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE486A01021,628,CESC,CESC LTD,178.14,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE399G01023,11411,RKFORGE,RAMKRISHNA FORGINGS LTD,630.1,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE212I01016,18252,SPAL,S. P. APPARELS LIMITED,839.15,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE603J01030,24184,PIIND,PI INDUSTRIES LTD,4074.4,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE202E01016,20261,IREDA,INDIAN RENEWABLE ENERGY,156.91,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE663F01032,13751,NAUKRI,INFO EDGE (I) LTD,1475,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE066A01021,910,EICHERMOT,EICHER MOTORS LTD,5441.5,,,0.5,1,EQUITY,,NSE_EQ
NSE_EQ|INE844O01030,10599,GUJGASLTD,GUJARAT GAS LIMITED,476.35,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE095I01015,15213,PPAP,PPAP AUTOMOTIVE LIMITED,240.96,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE844A01013,2610,PEARLPOLY,PEARL POLYMERS LTD,29.81,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE481N01025,2056,HOMEFIRST,HOME FIRST FIN CO IND LTD,1407.6,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE0O6601022,25252,KROSS,KROSS LIMITED,188.41,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE08U801020,18614,SAMHI,SAMHI HOTELS LIMITED,240.58,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE488A01050,5449,CHEMPLASTS,CHEMPLAST SANMAR LIMITED,468.9,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0KQN01018,20536,BAJEL,BAJEL PROJECTS LIMITED,245.88,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE877V01027,27334,SURAKSHA,SURAKSHA DIAGNOSTIC LTD,306.4,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE065D01027,12015,AEROENTER,AEROFLEX ENTERPRISES LTD,106.55,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE421D01022,11452,CCL,CCL PRODUCTS (I) LTD,856.9,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE364A01020,1720,JAYSREETEA,JAYSHREE TEA & INDUSTRIES,113.56,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE529A01010,1190,FMGOETZE,FEDERAL-MOGUL GOETZE (IND,592.6,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE592A01026,2496,ORIENTPPR,ORIENT PAPER AND INDS LTD,29.08,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE782X01033,5507,SERVOTECH,SERVOTECH REN POW SYS LTD,140.74,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0Q3J01015,25643,KRN,KRN HEAT EXCHANGE N REF L,868,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE277A01016,3384,SWARAJENG,SWARAJ ENGINES LTD,4482.3,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE752E01010,14977,POWERGRID,POWER GRID CORP. LTD.,299.25,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE08ZM01014,13810,GREENPANEL,GREENPANEL INDUSTRIES LTD,315,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0MIS01010,18250,PYRAMID,PYRAMID TECHNOPLAST LTD,170.3,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE158B01016,4040,EIMCOELECO,EIMCO ELECON (INDIA) LTD,2302.2,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE392A01021,8150,VISAKAIND,VISAKA INDUSTRIES LTD,84.88,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE103V01028,757545,TRAVELFOOD,TRAVEL FOOD SERVICES LTD,1170.5,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE049A01027,1360,HIMATSEIDE,HIMATSINGKA SEIDE LTD,156.57,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE271C01023,14732,DLF,DLF LIMITED,841.95,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE391D01019,17987,TRF,TRF LIMITED,379.5,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE037Z01029,28764,CEWATER,CONCORD ENVIRO SYSTEMS L,631.95,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE318A01026,2664,PIDILITIND,PIDILITE INDUSTRIES LTD,2918.9,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE275B01026,2562,HUHTAMAKI,HUHTAMAKI INDIA LIMITED,223.03,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE618N01022,11309,BALAXI,BALAXI PHARMA LTD,49.03,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE669X01024,17922,GEEKAYWIRE,GEEKAY WIRES LIMITED,70.81,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE348L01012,199,MASFIN,MAS FINANCIAL SERV LTD,333.9,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE164A01016,338,BALMLAWRIE,BALMER LAWRIE & CO LTD,220.18,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0CT101020,5394,MOL,MEGHMANI ORGANICS LIMITED,98.59,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE966A01022,12124,DOLATALGO,DOLAT ALGOTECH LIMITED,94.95,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE208C01025,40,AEGISLOG,AEGIS LOGISTICS LIMITED,753.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE758C01029,17833,AHLUCONT,AHLUWALIA CONT IND LTD,1064.1,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE742B01025,11606,GUFICBIO,GUFIC BIOSCIENCES LTD.,388.85,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0NQ801033,23043,RKSWAMY,R K SWAMY LIMITED,173.44,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE520A01027,1076,ZENSARTECH,ZENSAR TECHNOLOGIES LTD,816.1,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE439E01022,9428,SKIPPER,SKIPPER LIMITED,475.8,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE305A01015,3466,TFCILTD,TOURISM FINANCE CORP. OF,283.05,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE818H01020,13816,LTFOODS,LT FOODS LIMITED,487.7,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE499A01024,811,DCMSHRIRAM,DCM SHRIRAM LIMITED,1442.1,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE976E01023,6691,FOODSIN,FOODS & INNS LIMITED,113.72,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE019J01013,20063,SASTASUNDR,SASTASUNDAR VENTURES LTD,289.6,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE497B01018,2616,SEAMECLTD,SEAMEC LIMITED,848.3,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE063E01053,14385,POCL,PONDY OXIDES & CHEM LTD,948.5,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE306R01017,5926,INTELLECT,INTELLECT DESIGN ARENA,1192,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE551W01018,15228,UJJIVANSFB,UJJIVAN SMALL FINANC BANK,47.02,,,0.01,1,EQUITY,,NSE_EQ
